Seniority,Home,Time,Age,Marital,Records,Job,Expenses,Income,Assets,Debt,Amount,Price,prediction,target
11,2,35,28,3,1,2,75.3,237.4,0.0,1099.4,1004.6,2064.3,1,0
0,3,30,43,0,0,0,44.1,176.3,0.0,0.0,934.4,796.0,1,1
6,4,18,48,3,0,3,51.5,6.0,7662.4,1144.3,1919.0,948.6,1,1
0,0,39,47,0,0,1,35.0,271.8,4158.2,0.0,694.8,2136.6,1,1
6,5,41,32,0,0,0,51.3,121.1,1379.2,0.0,592.0,1800.3,1,1
0,2,49,28,3,1,1,80.4,122.4,0.0,318.3,2295.4,1126.2,0,0
2,0,50,41,4,1,3,35.0,184.0,0.0,687.2,1016.0,1349.8,0,1
0,0,43,43,0,1,3,36.3,143.8,0.0,0.0,1227.3,2436.8,0,1
11,1,11,36,4,1,3,43.2,12.3,3802.7,248.7,1076.8,313.6,1,1
0,0,43,26,0,1,0,70.4,88.8,0.0,944.3,1413.6,2291.4,0,0
10,4,48,18,1,1,1,43.7,130.3,0.0,0.0,1665.5,913.3,1,1
12,2,30,35,0,1,2,35.0,6.0,0.0,0.0,895.9,1567.7,0,0
6,0,53,20,0,1,0,54.4,103.6,6056.6,95.3,675.8,1365.4,1,0
17,1,39,41,2,1,2,52.0,190.3,16618.8,0.0,1173.8,1069.7,1,0
7,2,58,18,0,1,0,50.8,6.0,0.0,0.0,489.0,1898.7,0,0
17,5,72,47,1,0,1,51.0,185.4,4390.7,0.0,493.6,1199.6,1,0
12,4,43,45,4,1,0,83.0,107.1,2855.9,1855.5,1547.6,1910.9,0,1
1,2,22,24,2,1,3,65.9,211.8,0.0,0.0,647.0,2958.5,0,0
11,1,69,52,2,1,1,88.1,283.6,3470.2,0.0,885.8,1646.6,1,1
1,0,38,20,1,1,3,51.1,172.8,18796.6,207.3,1186.5,857.1,0,1
3,3,52,38,2,1,2,35.0,119.8,5237.4,0.0,470.6,937.8,0,0
4,5,54,49,1,1,1,80.8,138.6,7536.5,0.0,2144.0,1109.9,0,0
13,4,46,39,1,0,1,37.2,29.4,13731.1,213.6,1140.7,1633.8,1,1
10,3,61,18,3,0,0,40.8,88.4,22675.2,777.1,532.7,1432.1,1,0
7,4,20,35,0,1,3,61.6,120.5,9408.3,0.0,1278.4,1994.8,1,0
0,2,56,37,1,0,0,35.0,197.8,11430.0,1071.6,209.0,2276.2,1,0
16,1,43,43,3,0,2,82.7,215.5,10594.9,2802.8,313.1,1365.0,1,1
0,3,58,41,3,1,2,35.0,181.9,24633.8,0.0,823.7,3079.9,0,1
0,4,28,65,4,0,3,41.0,38.9,0.0,164.9,797.7,1934.7,0,1
5,0,38,20,4,0,2,49.5,151.5,200.8,492.4,1482.7,2402.9,1,0
28,3,37,24,0,0,1,67.0,127.6,0.0,0.0,608.3,1661.1,1,1
0,1,54,40,4,0,2,69.7,256.1,24880.4,1720.0,802.7,893.2,1,1
14,4,34,44,2,1,2,35.0,301.1,0.0,800.2,691.3,1629.0,1,1
0,2,59,39,4,1,0,44.1,106.9,1541.7,0.0,877.6,2120.4,0,1
3,0,27,36,1,1,2,77.7,39.8,21869.0,1051.3,1452.4,2095.0,0,0
4,0,52,36,0,0,3,48.8,172.0,0.0,0.0,956.9,471.6,1,1
7,4,18,34,0,0,2,61.4,82.5,0.0,0.0,751.7,1636.2,1,0
23,3,35,40,4,0,3,35.0,127.4,0.0,0.0,976.3,1308.8,1,0
22,2,47,29,0,1,2,35.0,172.7,1099.3,0.0,881.9,120.9,0,1
13,0,72,44,2,0,3,47.2,14.2,32067.3,3023.9,1865.7,2331.6,0,0
0,5,34,56,3,0,2,38.4,6.0,8648.6,0.0,1106.3,213.9,1,0
0,4,64,22,1,1,2,35.0,160.4,14204.0,0.0,1387.9,2466.1,0,1
1,4,49,32,4,1,3,65.1,200.3,12833.5,345.1,1357.5,1749.2,0,0
0,4,65,37,3,1,2,44.4,105.1,7940.4,0.0,1312.3,2227.0,0,0
1,0,46,58,2,0,0,55.0,57.9,4212.6,29.5,1209.6,1080.5,1,0
0,5,23,51,4,1,3,55.8,151.4,0.0,364.4,340.2,930.5,0,0
0,5,41,46,3,1,0,86.6,6.0,7318.9,570.9,881.7,2669.5,0,1
9,5,38,44,3,1,2,55.5,117.4,20570.9,0.0,100.0,1032.3,1,1
16,5,49,51,3,0,1,45.4,157.1,1096.1,907.3,1181.2,655.4,1,0
0,1,52,45,1,0,0,35.0,148.4,0.0,253.4,809.5,826.9,1,1
0,0,53,39,3,1,2,67.9,125.8,0.0,0.0,293.8,460.0,0,1
8,4,36,58,2,0,0,59.6,147.9,0.0,0.0,1064.6,1681.6,1,1
0,5,66,42,3,1,0,61.2,144.6,25485.2,3117.8,473.0,939.5,0,1
2,5,20,41,4,1,3,74.6,114.4,20302.1,0.0,1286.9,1673.6,0,0
0,1,21,29,1,1,0,56.2,99.3,25809.2,0.0,904.1,2109.2,1,1
22,4,25,35,4,1,1,44.5,86.9,6022.3,0.0,848.3,109.0,1,0
8,2,52,42,2,0,1,57.7,179.0,13469.4,0.0,721.1,1505.2,1,0
11,0,72,48,3,0,1,59.4,132.8,17744.0,1349.6,1360.2,1467.1,1,1
0,4,43,31,1,1,1,101.4,129.7,6364.0,2456.4,910.1,2570.0,0,1
8,5,57,41,3,1,2,35.0,208.9,0.0,0.0,100.0,1787.4,1,1
0,2,44,41,0,0,1,35.0,17.5,7268.7,0.0,1145.8,2767.9,1,1
16,1,46,50,3,1,3,54.2,111.9,0.0,0.0,991.8,2112.7,0,1
0,0,44,28,1,1,1,67.5,84.2,9093.6,0.0,1672.1,2582.3,0,1
0,0,21,36,1,0,0,74.6,178.3,2529.7,0.0,727.7,594.9,1,1
7,1,42,53,3,0,0,35.0,162.1,6740.4,0.0,1056.2,100.0,1,0
7,5,36,40,2,1,1,76.7,124.2,24490.4,107.0,1640.0,779.2,1,0
0,1,43,29,0,1,2,43.6,115.9,1658.4,668.8,624.9,1283.7,0,1
0,2,37,19,2,1,3,46.7,6.3,0.0,0.0,1047.9,1402.3,0,1
14,4,41,33,0,1,1,85.7,72.8,22045.4,1850.6,754.9,1225.2,1,1
23,4,60,32,0,1,3,56.4,70.3,0.0,0.0,745.2,1875.3,1,1
0,1,31,38,2,0,3,54.0,332.9,0.0,0.0,911.8,1739.2,0,1
0,0,41,37,1,1,1,42.3,207.6,11994.5,1255.9,1547.2,1267.3,0,1
11,5,66,30,2,1,2,46.6,176.5,0.0,826.7,1311.9,211.5,0,0
4,0,54,35,1,1,1,35.0,27.7,0.0,355.2,301.4,706.4,0,0
6,3,35,55,2,1,1,52.3,77.5,648.9,1199.3,1491.9,1953.5,0,0
0,5,55,29,1,0,0,49.0,128.6,1543.1,0.0,1199.5,1110.6,1,1
9,3,51,25,2,1,1,35.0,194.1,7280.5,660.6,1016.7,1474.2,1,1
0,5,27,39,4,1,1,42.9,181.3,0.0,0.0,1671.9,1688.4,0,1
7,5,52,34,0,0,3,64.9,120.9,17244.4,0.0,1547.0,2067.7,1,1
8,4,38,47,4,1,0,40.8,124.2,0.0,1914.4,941.5,1044.6,0,1
8,4,72,39,1,1,1,48.2,29.1,0.0,2160.6,1625.1,1022.7,0,0
0,2,72,43,4,0,1,69.4,8.1,18519.5,125.6,643.3,1850.4,1,0
7,3,28,29,4,1,3,64.3,230.4,0.0,732.3,1695.2,1381.8,0,0
2,1,66,36,3,1,3,69.1,291.7,0.0,0.0,1974.9,1271.1,0,1
5,5,30,38,4,1,2,61.4,201.3,0.0,0.0,1785.2,3162.0,0,0
9,1,41,18,3,1,1,45.6,132.4,2170.3,0.0,1354.6,408.1,1,1
15,3,46,33,3,1,3,75.6,26.7,6654.7,0.0,1353.7,1254.6,0,1
18,1,44,46,0,0,2,77.7,175.2,0.0,1096.1,754.4,1497.2,1,0
9,2,42,18,4,0,3,41.7,128.8,3413.1,1380.9,1264.9,1581.5,1,0
16,3,72,48,2,0,0,40.8,152.7,0.0,1096.3,648.5,1487.7,1,1
6,3,43,33,2,0,1,79.9,6.0,28557.4,902.8,1110.1,2478.0,1,1
8,0,71,45,2,1,0,61.3,61.4,0.0,539.8,968.9,1039.9,0,0
1,3,34,43,4,0,0,83.1,136.0,0.0,0.0,1362.7,2144.2,0,0
7,0,24,22,0,1,1,55.3,69.2,0.0,0.0,1012.9,1665.9,0,0
1,0,40,33,4,0,0,35.0,78.5,8155.3,0.0,412.5,1305.7,1,0
10,3,33,21,3,0,2,69.8,135.8,0.0,0.0,100.0,1226.8,1,0
9,4,41,23,0,0,3,43.2,85.5,0.0,0.0,433.8,1708.8,1,1
13,2,61,44,3,0,0,38.0,206.2,0.0,0.0,1828.9,659.9,1,1
9,4,59,25,2,0,2,70.5,66.7,0.0,999.7,896.2,1874.0,0,1
0,0,48,34,1,0,0,92.6,181.2,0.0,0.0,752.9,1381.1,1,1
7,5,30,29,2,1,2,37.2,212.9,0.0,0.0,2772.9,721.9,0,0
13,5,52,34,4,0,2,53.1,128.2,0.0,1227.6,876.0,1022.6,0,1
12,4,54,32,3,1,1,35.0,233.8,17018.0,0.0,676.7,1131.3,1,1
8,5,54,30,2,0,0,35.0,57.3,19883.8,385.2,1709.1,1108.9,1,0
0,1,29,39,4,0,2,70.0,247.6,0.0,0.0,868.6,420.6,0,1
1,5,43,40,3,1,3,64.0,64.2,20701.9,696.3,906.5,1571.3,0,0
11,4,33,43,0,1,3,64.9,164.6,0.0,0.0,156.2,788.3,1,1
0,4,25,33,3,0,3,44.0,66.1,0.0,0.0,1227.5,934.8,0,0
0,5,48,19,1,1,1,35.0,61.6,11962.5,0.0,1325.9,1474.1,0,1
11,4,54,42,0,1,3,63.2,107.9,0.0,0.0,470.6,465.6,0,1
8,2,36,27,0,0,3,76.0,298.9,5989.4,1487.3,456.6,2003.7,1,0
0,1,59,30,4,1,1,38.6,42.0,0.0,1008.6,1449.7,2354.8,0,0
4,1,23,53,4,0,0,63.5,6.0,23299.9,1279.5,1724.4,803.1,1,1
3,5,40,49,2,1,0,77.8,68.7,19485.4,1263.7,1198.6,1321.4,1,0
0,1,69,34,3,1,2,63.4,6.0,0.0,1222.2,1171.4,1064.8,0,1
8,2,54,44,4,0,3,49.0,32.3,6928.7,0.0,595.1,894.9,1,1
0,1,60,26,0,1,1,42.6,21.7,0.0,1979.0,1377.8,1160.2,0,0
26,2,55,35,1,0,2,61.7,38.8,1483.5,718.7,1245.0,1198.9,1,0
3,0,41,38,4,1,1,91.4,6.0,0.0,0.0,1148.4,1430.9,0,1
18,1,27,40,2,1,2,43.2,130.9,0.0,0.0,1417.9,1567.7,1,0
7,3,63,39,3,0,0,75.1,6.0,14988.4,0.0,1216.3,2242.8,1,0
7,4,43,24,4,1,0,83.4,327.3,0.0,1250.2,1440.8,1030.3,0,1
0,1,49,19,1,0,1,77.8,132.3,0.0,94.4,100.0,1924.8,1,1
1,2,37,45,2,0,1,35.0,127.1,16283.2,457.4,100.0,1931.2,1,0
5,2,53,36,2,1,2,47.5,207.8,1935.5,0.0,454.0,727.7,0,0
0,2,49,49,3,1,2,58.1,239.3,0.0,0.0,567.3,1442.7,0,1
0,0,39,26,4,0,3,35.0,6.0,0.0,788.0,825.0,1463.7,0,0
18,4,63,22,0,0,3,74.3,186.4,0.0,0.0,733.5,1300.1,1,1
2,0,34,37,1,0,0,42.3,6.0,725.3,925.5,1152.4,2334.9,0,1
0,5,42,21,1,1,1,35.0,21.0,7240.0,59.9,751.7,1707.8,0,0
7,5,51,18,0,1,2,69.3,206.0,12102.0,1350.9,687.9,1094.5,1,1
27,4,28,34,3,0,2,35.0,92.2,0.0,0.0,1100.1,1266.3,1,1
32,1,54,32,3,1,3,73.3,103.5,13610.0,0.0,765.8,1788.3,1,1
0,3,58,35,0,1,1,58.7,69.4,5406.5,0.0,1609.8,2091.9,0,1
13,2,56,27,4,1,0,65.9,69.2,5785.9,0.0,954.8,2366.3,1,0
6,2,58,36,2,0,0,35.0,49.5,0.0,705.9,1640.6,760.5,0,1
9,0,25,47,1,1,1,44.0,179.1,11055.0,262.9,1270.4,539.5,1,1
3,1,55,41,1,0,0,69.6,156.1,12152.0,0.0,100.0,1665.0,1,1
4,1,39,42,4,0,3,55.0,161.0,7096.3,0.0,1678.9,1311.8,1,1
10,5,48,35,1,0,2,61.2,30.4,5658.4,2383.1,1068.2,1982.5,1,1
11,4,46,34,2,0,3,59.1,6.0,0.0,0.0,592.2,1945.5,0,1
12,3,65,45,1,1,1,54.9,248.8,3683.1,0.0,1024.7,1052.3,1,0
0,1,58,58,4,1,3,66.1,102.8,14138.9,0.0,458.5,1141.6,1,0
8,5,44,37,0,1,1,54.5,155.6,0.0,773.2,600.4,1603.9,1,1
15,2,29,70,2,0,3,48.2,110.8,11052.8,726.8,566.0,1410.8,1,1
4,5,30,24,4,1,0,48.8,243.6,6034.1,0.0,582.1,1891.2,1,0
0,1,65,32,1,0,0,37.6,73.4,0.0,37.4,1274.4,1657.9,0,0
0,1,61,28,0,0,0,48.8,6.0,0.0,1358.8,832.2,1289.7,0,0
16,1,37,25,4,0,1,65.2,47.7,0.0,0.0,673.5,1757.0,1,0
6,4,43,48,1,0,3,44.3,158.8,26708.3,0.0,100.0,531.4,1,0
18,0,43,28,1,0,3,35.0,29.6,0.0,0.0,1332.0,2104.2,0,1
9,1,10,48,2,0,0,52.1,119.4,21771.3,0.0,1458.1,561.1,1,1
7,3,43,33,2,1,3,62.8,88.4,0.0,2606.3,1221.1,1530.2,0,1
11,5,46,47,3,0,0,61.5,161.7,0.0,1987.4,1253.2,1821.3,1,0
8,3,51,40,2,0,0,41.0,152.9,12474.1,1152.7,1178.7,774.7,1,1
16,1,39,44,0,1,0,46.4,286.2,0.0,229.9,1009.3,1072.4,1,0
0,1,34,43,4,0,3,102.5,205.0,1537.1,26.4,1053.4,1600.6,0,0
0,4,49,33,3,0,1,67.7,195.2,10156.3,0.0,1504.1,1684.9,1,1
6,4,57,43,2,1,0,35.0,44.5,8028.2,0.0,926.4,2234.6,0,0
11,4,59,39,0,1,0,35.5,65.5,17660.1,0.0,205.2,2089.7,1,0
8,4,72,40,2,0,2,40.4,95.5,0.0,436.3,100.0,1690.6,0,0
17,1,34,25,4,0,0,51.5,190.2,0.0,0.0,408.7,2053.7,1,1
3,4,57,25,3,1,2,60.3,165.7,9861.4,319.5,589.0,2022.8,0,1
8,3,23,40,0,0,2,70.7,181.1,4601.3,863.1,1263.6,1647.5,1,1
1,1,72,27,2,1,3,72.3,43.2,17795.1,1164.5,732.2,1503.5,1,0
1,0,44,53,0,1,3,50.9,108.8,25744.5,0.0,856.8,678.1,0,1
0,4,58,18,3,1,2,68.6,110.8,0.0,1053.0,572.7,1761.2,0,0
0,0,40,24,3,1,1,78.2,144.9,3821.5,0.0,601.8,891.8,1,1
6,1,53,30,3,0,0,39.2,229.9,6719.3,534.3,100.0,2632.3,1,1
17,2,33,26,1,0,1,81.2,6.6,0.0,0.0,1987.2,100.0,0,1
0,2,72,38,2,0,0,40.2,189.9,13390.5,0.0,1195.1,2002.5,1,0
5,2,30,18,0,1,0,66.6,124.6,0.0,0.0,1719.4,1839.3,0,1
1,1,34,50,2,0,3,35.5,254.0,9460.0,1716.3,100.0,1555.0,1,1
6,3,65,33,3,1,0,81.5,132.1,4042.5,0.0,1875.2,1838.2,0,0
4,0,67,44,3,0,1,42.6,6.0,0.0,0.0,487.8,1886.9,0,1
10,0,42,27,0,0,3,35.0,254.9,20633.2,0.0,1090.0,1804.1,1,1
0,3,34,37,0,0,3,60.3,227.5,0.0,0.0,609.9,2110.7,0,0
6,4,58,43,0,0,1,65.6,6.0,10560.5,0.0,1224.0,1441.3,1,1
0,4,35,30,0,1,1,40.4,68.4,10194.3,1626.6,1796.8,1382.3,0,0
15,5,56,41,2,1,2,51.6,6.0,0.0,2092.7,700.8,1464.3,0,0
0,5,60,35,0,0,1,53.4,32.8,4768.1,460.8,1937.8,2078.8,0,0
16,5,35,28,0,0,1,64.9,136.6,6791.3,1.7,1579.4,1377.5,1,0
0,0,44,40,3,0,1,62.2,40.7,0.0,1647.4,690.8,1171.4,0,1
0,0,19,33,2,0,0,53.5,174.2,9345.9,949.9,1079.9,1225.9,1,1
0,1,67,35,3,1,3,35.0,276.7,15675.3,0.0,1573.4,1044.8,0,1
0,1,38,25,2,0,2,42.1,200.4,13089.6,1511.6,105.1,2212.1,1,0
5,5,67,41,2,0,0,55.6,232.6,0.0,49.4,2091.7,621.5,1,0
1,1,48,41,4,0,1,35.0,150.2,0.0,731.4,1099.8,2102.2,1,1
5,1,34,31,4,1,0,44.7,38.2,4737.5,2119.0,925.7,1720.5,0,0
14,3,53,39,4,1,1,89.3,172.5,14757.2,2047.3,586.9,971.7,1,1
0,3,29,31,3,1,3,52.5,84.0,15620.4,1824.8,1518.9,1019.2,0,0
0,0,42,41,2,1,3,35.0,83.5,0.0,0.0,1732.6,1283.9,0,1
7,3,72,38,0,0,2,52.7,6.1,10111.3,673.0,795.4,1222.0,1,1
17,1,47,24,3,1,0,48.8,139.3,15092.4,959.7,1185.5,2170.5,1,1
28,4,35,43,0,1,0,62.8,189.8,0.0,0.0,831.5,2036.1,1,1
0,3,32,33,2,0,0,47.3,193.9,0.0,39.6,512.7,1992.5,1,0
0,0,61,38,0,0,3,37.1,23.6,0.0,2046.5,1013.8,1301.5,0,0
5,3,48,21,1,0,3,45.1,57.7,17712.8,2250.8,986.0,1923.3,1,0
3,3,36,31,4,1,2,48.2,202.1,0.0,0.0,1686.5,1324.0,0,0
8,0,37,41,0,1,3,73.7,169.2,0.0,0.0,1899.5,1394.1,0,1
0,4,57,41,4,0,2,35.0,180.4,0.0,1649.1,1360.3,1753.7,0,0
0,4,50,33,0,0,1,69.8,53.6,0.0,361.5,908.5,416.1,0,1
12,2,37,32,4,0,1,52.5,94.4,291.6,0.0,512.3,1660.3,1,1
10,1,46,28,0,0,0,50.7,71.2,50.8,1615.9,1460.6,612.3,0,0
19,2,28,33,0,1,2,63.3,81.6,0.0,2259.3,922.8,1796.3,1,1
3,1,72,42,2,1,0,43.1,175.6,15467.4,0.0,790.2,2286.7,1,0
1,5,43,40,0,1,3,35.0,244.0,0.0,978.2,416.4,908.0,0,1
0,0,62,42,2,0,3,38.3,63.7,0.0,0.0,1278.8,751.3,0,0
0,5,34,38,4,1,1,35.0,115.6,1815.1,743.2,477.7,1159.4,0,0
17,4,63,36,0,0,0,45.3,132.5,10160.7,2757.4,380.9,1678.6,1,0
3,3,54,42,2,0,1,78.6,6.0,7033.2,0.0,521.8,1392.7,1,1
0,1,39,34,3,1,1,37.4,97.3,785.2,1724.9,888.0,1714.1,0,0
4,3,49,34,4,0,3,108.9,41.6,0.0,3769.2,1684.8,1833.6,0,1
7,0,55,32,2,0,1,44.6,43.0,0.0,0.0,999.4,1272.9,0,1
10,0,39,29,1,1,1,65.4,160.6,0.0,1839.7,545.5,2332.6,1,0
10,2,68,46,1,0,3,38.7,207.1,14509.4,2767.9,1204.2,2719.5,1,1
8,4,42,32,3,0,3,35.0,123.6,3354.4,0.0,1334.1,1039.6,1,0
13,2,43,39,0,1,0,35.0,191.2,8559.0,0.0,759.6,1037.7,1,0
8,1,28,22,2,1,3,85.0,146.0,3323.2,824.2,775.4,1522.7,1,0
11,0,50,27,3,0,3,40.5,56.2,0.0,0.0,858.1,1440.6,1,1
0,0,41,34,0,0,3,40.1,249.6,0.0,0.0,195.2,1332.2,1,1
